name,price,delivery_price,rating,seller,seller_rating,delivery_rating,stock
Multi-Purpose C2 Kitchen Cleaner Spray For Kitchen And Bathroom [400Ml] - Stain Cleaning Spray For Home And Office Use |,Rs. 165,Rs. 70,0,The Best Price Online,79%,98%,5
Airpods 2nd Generation V20Pro Digital Touch Control ANC/ENC Duble Dark Noise Reduction,"Rs. 2,450",Rs. 70,0,Benefits Online Store,83%,99%,15
Boombest LN-1007BT Super Bass Wireless Speaker,"Rs. 1,499",Rs. 70,0,Gadgets World,87%,100%,15
I Don't Love You Anymore By Rithvik Singh,Rs. 165,Rs. 70,0,Book Media,82%,100%,15
"Premium Kojic Acid Soap by Zuwa Cosmetics, Exfoliates, Smoothens, Lightens - 135 gm",Rs. 250,Rs. 70,4.3,Allure Cosmetics,87%,96%,15
Furr By Pee Safe Silicone Scalp Massager Brush,Rs. 271,Rs. 70,4.3,PeeSafe,92%,97%,15
P9 Wireless Stereo Bluetooth Headphones | IPX-4 Water Resistant | Active Noise Cancellation,Rs. 950,Rs. 70,4.3,New RC Store,76%,100%,15
Hero Biker Full Face Motorcycle Bike Rider Helmet Multifunction Balaclava/Bandanas/Mask,Rs. 238,Rs. 70,4.6,Sale Sansar,85%,98%,15
Baba's Nappy Baby Pull Up Diaper Economic Pack,Rs. 883,Rs. 70,4.6,Baba's Nappy,88%,100%,4
Warm Winter Fake Skin Transparent High Waist Stretchy Leggings Stockings For Women | Fashion Warm Stretchy Leggins For Women,Rs. 725,Rs. 70,4.6,D2fancy,86%,100%,2
Storage Box Foldable Large Capacity Oxford Cloth Clothes Sundries Organizer Case For Household 66ltr,Rs. 499,Rs. 70,4.6,7Rings,85%,99%,15
Men Boxer Briefs Cotton Underwear (Pack Of 4),Rs. 445,Rs. 70,4.6,Arushi,81%,94%,15
"Ladies Underwear, Panties, Multi-color, Good For Ladies With Big Belly. Product Exactly As In Photo",Rs. 88,Rs. 120,4.6,D's Shop,86%,100%,5
"Baba's Nappy Baby Pull Up Diaper Economic Pack, Large (Pack of 46)",Rs. 883,Rs. 70,4.1,Baba's Nappy,88%,100%,6
Pods Pro Wireless Earbuds,Rs. 615,Rs. 70,4.1,New RC Store,76%,100%,15
White Feather's Pure Silver Coin ( 5gm ) Lakshmi & Ganesh Engraved,Rs. 850,,4.1,White Feathers,84%,100%,0
Earpods 3 Super Sound Bluetooth Charging Case Premium Qualitty,"Rs. 1,199",Rs. 70,3.8,Raj Corner,74%,91%,11
RC Ultra Pods Earbuds Stereo Touch Control With Flash Light,Rs. 625,Rs. 70,3.8,Raj Corner,74%,91%,10
Pack Of 2 Storage Box Foldable Large Capacity Oxford Cloth Clothes Sundries Organizer Case For Household 66ltr,Rs. 989,Rs. 70,3.8,7Rings,85%,99%,15
